trades,win_rate,total_pts,total_usd,avg_pts,entry,exit
5,100.0,21487.75,429755.0,4297.55,0.34,0.94
5,100.0,21487.75,429755.0,4297.55,0.33,0.94
5,100.0,21487.75,429755.0,4297.55,0.35,0.94
3,100.0,20348.5,406970.0,6782.833333333333,0.33,0.95
3,100.0,20348.5,406970.0,6782.833333333333,0.34,0.95
3,100.0,20348.5,406970.0,6782.833333333333,0.35,0.95
5,100.0,20270.75,405415.0,4054.15,0.32,0.94
5,100.0,20270.75,405415.0,4054.15,0.31,0.94
3,100.0,19131.5,382630.0,6377.166666666667,0.32,0.95
3,100.0,19131.5,382630.0,6377.166666666667,0.31,0.95
5,100.0,19044.75,380895.0,3808.95,0.3,0.94
5,100.0,18488.25,369765.0,3697.65,0.29,0.94
3,100.0,17905.5,358110.0,5968.5,0.3,0.95
5,100.0,17739.25,354785.0,3547.85,0.27,0.94
5,100.0,17739.25,354785.0,3547.85,0.28,0.94
5,100.0,17739.25,354785.0,3547.85,0.26,0.94
5,100.0,17575.5,351510.0,3515.1,0.25,0.94
3,100.0,17349.0,346980.0,5783.0,0.29,0.95
5,100.0,16610.25,332205.0,3322.05,0.24,0.94
3,100.0,16600.0,332000.0,5533.333333333333,0.26,0.95
3,100.0,16600.0,332000.0,5533.333333333333,0.27,0.95
3,100.0,16600.0,332000.0,5533.333333333333,0.28,0.95
3,100.0,16436.25,328725.0,5478.75,0.25,0.95
4,100.0,16172.75,323455.0,4043.1875,0.23,0.94
3,100.0,15480.25,309605.0,5160.083333333333,0.22,0.94
3,100.0,15480.25,309605.0,5160.083333333333,0.2,0.94
3,100.0,15480.25,309605.0,5160.083333333333,0.21,0.94
3,100.0,15471.0,309420.0,5157.0,0.24,0.95
2,100.0,15033.5,300670.0,7516.75,0.18,0.95
2,100.0,15033.5,300670.0,7516.75,0.21,0.95
2,100.0,15033.5,300670.0,7516.75,0.2,0.95
2,100.0,15033.5,300670.0,7516.75,0.19,0.95
2,100.0,15033.5,300670.0,7516.75,0.23,0.95
