trades,win_rate,total_pts,total_usd,avg_pts,entry,exit
22,81.81818181818183,44599.75,891995.0,2027.2613636363637,0.35,0.95
22,81.81818181818183,44494.5,889890.0,2022.4772727272727,0.34,0.95
22,81.81818181818183,43015.25,860305.0,1955.2386363636363,0.33,0.95
25,84.0,42080.5,841610.0,1683.22,0.35,0.94
25,84.0,41975.25,839505.0,1679.01,0.34,0.94
25,84.0,40496.0,809920.0,1619.84,0.33,0.94
22,81.81818181818183,40362.75,807255.0,1834.6704545454545,0.32,0.95
25,84.0,37843.5,756870.0,1513.74,0.32,0.94
21,80.95238095238095,37482.25,749645.0,1784.8690476190477,0.31,0.95
20,80.0,36522.0,730440.0,1826.1,0.3,0.95
20,80.0,35346.75,706935.0,1767.3375,0.29,0.95
24,83.33333333333334,34963.0,699260.0,1456.7916666666667,0.31,0.94
23,82.6086956521739,34002.75,680055.0,1478.3804347826087,0.3,0.94
20,80.0,33679.75,673595.0,1683.9875,0.26,0.95
20,80.0,33515.5,670310.0,1675.775,0.25,0.95
20,80.0,33348.5,666970.0,1667.425,0.27,0.95
20,80.0,33025.0,660500.0,1651.25,0.24,0.95
20,80.0,32862.0,657240.0,1643.1,0.28,0.95
23,82.6086956521739,32827.5,656550.0,1427.2826086956522,0.29,0.94
23,82.6086956521739,31168.5,623370.0,1355.1521739130435,0.26,0.94
23,82.6086956521739,31004.25,620085.0,1348.0108695652175,0.25,0.94
23,82.6086956521739,30833.25,616665.0,1340.5760869565217,0.27,0.94
20,85.0,30631.5,612630.0,1531.575,0.22,0.95
23,82.6086956521739,30517.75,610355.0,1326.858695652174,0.24,0.94
23,82.6086956521739,30342.75,606855.0,1319.25,0.28,0.94
20,80.0,30166.25,603325.0,1508.3125,0.23,0.95
20,85.0,29497.25,589945.0,1474.8625,0.21,0.95
20,85.0,28673.5,573470.0,1433.675,0.2,0.95
19,84.21052631578947,28353.5,567070.0,1492.2894736842106,0.19,0.95
22,86.36363636363636,28270.0,565400.0,1285.0,0.22,0.94
22,81.81818181818183,27804.75,556095.0,1263.8522727272727,0.23,0.94
22,86.36363636363636,27135.75,542715.0,1233.4431818181818,0.21,0.94
22,86.36363636363636,26312.0,526240.0,1196.0,0.2,0.94
21,85.71428571428571,25992.0,519840.0,1237.7142857142858,0.19,0.94
19,89.47368421052632,25687.75,513755.0,1351.9868421052631,0.18,0.95
36,88.88888888888889,25124.0,502480.0,697.8888888888889,0.35,0.9
36,88.88888888888889,25018.75,500375.0,694.9652777777778,0.34,0.9
43,86.04651162790698,24471.25,489425.0,569.0988372093024,0.35,0.87
42,85.71428571428571,24366.0,487320.0,580.1428571428571,0.34,0.87
36,88.88888888888889,24278.5,485570.0,674.4027777777778,0.35,0.89
36,88.88888888888889,24173.25,483465.0,671.4791666666666,0.34,0.89
36,88.88888888888889,24040.5,480810.0,667.7916666666666,0.33,0.9
42,88.09523809523809,23737.75,474755.0,565.1845238095239,0.35,0.88
41,87.8048780487805,23632.5,472650.0,576.4024390243902,0.34,0.88
36,88.88888888888889,23588.0,471760.0,655.2222222222222,0.32,0.9
18,88.88888888888889,23552.0,471040.0,1308.4444444444443,0.17,0.95
42,85.71428571428571,23387.75,467755.0,556.8511904761905,0.33,0.87
21,85.71428571428571,23330.25,466605.0,1110.9642857142858,0.18,0.94
36,88.88888888888889,23195.0,463900.0,644.3055555555555,0.33,0.89
