Date,Action,Contracts,Price,Total Held,Avg Entry,P/L Pts,P/L USD,Reason
2020-05-12,BUY,1,9043.25,1,,,,
2020-05-14,SELL ALL,1,9088.5,0,9043.25,45.25,905.0,IBS Exit
2020-05-19,BUY,1,9297.0,1,,,,
2020-05-20,SELL ALL,1,9494.0,0,9297.0,197.0,3940.0,IBS Exit
2020-05-21,BUY,1,9359.25,1,,,,
2020-05-22,SELL ALL,1,9421.5,0,9359.25,62.25,1245.0,IBS Exit
2020-05-26,BUY,1,9413.0,1,,,,
2020-05-29,SELL ALL,1,9586.75,0,9413.0,173.75,3475.0,IBS Exit
2020-06-11,BUY,1,9621.0,1,,,,
2020-06-15,SELL ALL,1,9810.75,0,9621.0,189.75,3795.0,IBS Exit
2020-06-19,BUY,1,9925.0,1,,,,
2020-06-22,SELL ALL,1,10121.5,0,9925.0,196.5,3930.0,IBS Exit
2020-06-26,BUY,1,9844.75,1,,,,
2020-06-29,SELL ALL,1,9986.0,0,9844.75,141.25,2825.0,IBS Exit
2020-07-07,BUY,1,10526.75,1,,,,
2020-07-08,SELL ALL,1,10671.75,0,10526.75,145.0,2900.0,IBS Exit
2020-07-13,BUY,1,10601.25,1,,,,
2020-07-20,SELL ALL,1,10947.5,0,10601.25,346.25,6925.0,IBS Exit
2020-07-21,BUY,1,10845.5,1,,,,
2020-07-23,BUY,1,10565.0,2,,,,
2020-07-27,SELL ALL,2,10682.0,0,10705.25,-46.5,-930.0,IBS Exit
2020-07-28,BUY,1,10549.25,1,,,,
2020-07-29,SELL ALL,1,10699.5,0,10549.25,150.25,3005.0,IBS Exit
2020-08-11,BUY,1,10912.0,1,,,,
2020-08-17,SELL ALL,1,11287.0,0,10912.0,375.0,7500.0,IBS Exit
2020-08-19,BUY,1,11321.5,1,,,,
2020-08-20,SELL ALL,1,11480.0,0,11321.5,158.5,3170.0,IBS Exit
2020-09-03,BUY,1,11802.25,1,,,,
2020-09-08,BUY,1,11043.75,2,,,,
2020-09-10,BUY,1,11177.25,3,,,,
2020-09-16,BUY,1,11250.0,4,,,,
2020-09-21,SELL ALL,4,10980.5,0,11318.31,-1351.25,-27025.0,IBS Exit
2020-09-23,BUY,1,10818.75,1,,,,
2020-09-25,SELL ALL,1,11135.0,0,10818.75,316.25,6325.0,IBS Exit
2020-09-29,BUY,1,11320.0,1,,,,
2020-10-01,SELL ALL,1,11573.0,0,11320.0,253.0,5060.0,IBS Exit
2020-10-02,BUY,1,11251.5,1,,,,
2020-10-05,SELL ALL,1,11469.25,0,11251.5,217.75,4355.0,IBS Exit
2020-10-06,BUY,1,11207.25,1,,,,
2020-10-07,SELL ALL,1,11474.5,0,11207.25,267.25,5345.0,IBS Exit
2020-10-14,BUY,1,11944.25,1,,,,
2020-10-16,BUY,1,11795.25,2,,,,
2020-10-28,BUY,1,11177.75,3,,,,
2020-11-04,SELL ALL,3,11814.0,0,11639.08,524.75,10495.0,IBS Exit
2020-11-09,BUY,1,11846.5,1,,,,
2020-11-11,SELL ALL,1,11893.0,0,11846.5,46.5,930.0,IBS Exit
2020-11-17,BUY,1,11969.0,1,,,,
2020-11-18,BUY,1,11873.75,2,,,,
2020-11-24,SELL ALL,2,12101.0,0,11921.38,359.25,7185.0,IBS Exit
2020-12-09,BUY,1,12351.75,1,,,,
2020-12-15,SELL ALL,1,12598.0,0,12351.75,246.25,4925.0,IBS Exit
2021-01-11,BUY,1,12905.75,1,,,,
2021-01-14,BUY,1,12899.75,2,,,,
2021-01-15,BUY,1,12759.0,3,,,,
2021-01-19,SELL ALL,3,13032.75,0,12854.83,533.75,10675.0,IBS Exit
2021-01-29,BUY,1,12870.5,1,,,,
2021-02-01,SELL ALL,1,13235.25,0,12870.5,364.75,7295.0,IBS Exit
2021-02-03,BUY,1,13416.0,1,,,,
