Date,Action,Contracts,Price,Total Held,Avg Entry,P/L Pts,P/L USD,Reason
2022-01-04,BUY,1,16261.25,1,,,,
2022-01-05,BUY,1,15754.25,2,,,,
2022-01-07,BUY,1,15570.25,3,,,,
2022-01-11,SELL ALL,3,15824.5,0,15861.92,-112.25,-2245.0,IBS Exit
2022-01-13,BUY,1,15501.75,1,,,,
2022-01-14,SELL ALL,1,15616.75,0,15501.75,115.0,2300.0,IBS Exit
2022-01-18,BUY,1,15239.5,1,,,,
2022-01-19,BUY,1,15037.0,2,,,,
2022-01-20,BUY,1,14725.75,3,,,,
2022-01-21,BUY,1,14411.0,4,,,,
2022-01-24,SELL ALL,4,14502.75,0,14853.31,-1402.25,-28045.0,IBS Exit
2022-01-25,BUY,1,13922.25,1,,,,
2022-01-26,BUY,1,14150.75,2,,,,
2022-01-28,SELL ALL,2,14430.25,0,14036.5,787.5,15750.0,IBS Exit
2022-02-02,BUY,1,14863.25,1,,,,
2022-02-07,BUY,1,14601.75,2,,,,
2022-02-08,SELL ALL,2,14745.75,0,14732.5,26.5,530.0,IBS Exit
2022-02-10,BUY,1,14695.5,1,,,,
2022-02-11,BUY,1,14256.75,2,,,,
2022-02-15,SELL ALL,2,14581.75,0,14476.12,211.25,4225.0,IBS Exit
2022-02-17,BUY,1,14156.75,1,,,,
2022-02-18,BUY,1,13993.75,2,,,,
2022-02-23,BUY,1,13487.5,3,,,,
2022-02-24,SELL ALL,3,13911.0,0,13879.33,95.0,1900.0,IBS Exit
2022-03-01,BUY,1,14028.5,1,,,,
2022-03-03,BUY,1,14058.5,2,,,,
2022-03-04,BUY,1,13798.75,3,,,,
2022-03-07,BUY,1,13270.0,4,,,,
2022-03-08,BUY,1,13199.5,5,,,,
2022-03-09,SELL ALL,5,13774.0,0,13671.05,514.75,10295.0,IBS Exit
2022-03-11,BUY,1,13301.75,1,,,,
2022-03-14,BUY,1,13082.0,2,,,,
2022-03-15,SELL ALL,2,13443.25,0,13191.88,502.75,10055.0,IBS Exit
2022-03-23,BUY,1,14463.75,1,,,,
2022-03-24,SELL ALL,1,14763.0,0,14463.75,299.25,5985.0,IBS Exit
2022-03-31,BUY,1,14917.25,1,,,,
2022-04-04,SELL ALL,1,15159.5,0,14917.25,242.25,4845.0,IBS Exit
2022-04-05,BUY,1,14861.5,1,,,,
2022-04-06,BUY,1,14496.0,2,,,,
2022-04-08,BUY,1,14328.0,3,,,,
2022-04-11,BUY,1,14003.5,4,,,,
2022-04-12,BUY,1,13953.5,5,,,,
2022-04-14,BUY,1,13892.25,6,,,,
2022-04-20,BUY,1,14070.0,7,,,,
2022-04-21,BUY,1,13715.5,8,,,,
2022-04-22,BUY,1,13315.5,9,,,,
2022-04-25,SELL ALL,9,13528.0,0,14070.64,-4883.75,-97675.0,IBS Exit
2022-04-26,BUY,1,12815.5,1,,,,
2022-04-29,BUY,1,12890.5,2,,,,
2022-05-02,SELL ALL,2,13051.25,0,12853.0,396.5,7930.0,IBS Exit
2022-05-05,BUY,1,12897.0,1,,,,
2022-05-09,BUY,1,12205.5,2,,,,
2022-05-11,BUY,1,12011.5,3,,,,
2022-05-16,BUY,1,12236.75,4,,,,
2022-05-17,SELL ALL,4,12573.75,0,12337.69,944.25,18885.0,IBS Exit
2022-05-18,BUY,1,11892.5,1,,,,
2022-05-23,SELL ALL,1,12056.0,0,11892.5,163.5,3270.0,IBS Exit
2022-06-01,BUY,1,12548.0,1,,,,
2022-06-02,SELL ALL,1,12896.75,0,12548.0,348.75,6975.0,IBS Exit
2022-06-03,BUY,1,12549.5,1,,,,
2022-06-06,BUY,1,12606.75,2,,,,
2022-06-08,BUY,1,12619.25,3,,,,
2022-06-09,BUY,1,12297.25,4,,,,
2022-06-10,BUY,1,11858.75,5,,,,
2022-06-13,BUY,1,11331.0,6,,,,
2022-06-16,BUY,1,11204.25,7,,,,
2022-06-24,SELL ALL,7,12132.75,0,12066.68,462.5,9250.0,IBS Exit
2022-06-27,BUY,1,12074.75,1,,,,
2022-06-28,BUY,1,11680.5,2,,,,
2022-07-01,SELL ALL,2,11610.5,0,11877.62,-534.25,-10685.0,IBS Exit
2022-07-11,BUY,1,11900.5,1,,,,
2022-07-12,BUY,1,11780.75,2,,,,
2022-07-14,SELL ALL,2,11807.25,0,11840.62,-66.75,-1335.0,IBS Exit
2022-07-18,BUY,1,11916.25,1,,,,
2022-07-19,SELL ALL,1,12320.0,0,11916.25,403.75,8075.0,IBS Exit
2022-07-22,BUY,1,12429.0,1,,,,
2022-07-25,BUY,1,12327.5,2,,,,
2022-07-28,SELL ALL,2,12924.25,0,12378.25,1092.0,21840.0,IBS Exit
2022-08-08,BUY,1,13213.0,1,,,,
2022-08-09,BUY,1,13055.75,2,,,,
2022-08-10,SELL ALL,2,13381.0,0,13134.38,493.25,9865.0,IBS Exit
2022-08-11,BUY,1,13346.75,1,,,,
2022-08-12,SELL ALL,1,13580.0,0,13346.75,233.25,4665.0,IBS Exit
2022-08-19,BUY,1,13250.0,1,,,,
2022-08-22,BUY,1,12933.5,2,,,,
2022-08-23,BUY,1,12889.25,3,,,,
2022-08-25,SELL ALL,3,13144.75,0,13024.25,361.5,7230.0,IBS Exit
2022-08-26,BUY,1,12559.0,1,,,,
