Date,Action,Contracts,Price,Total Held,Avg Entry,P/L Pts,P/L USD,Reason
2025-01-16,BUY,1,21214.25,1,,,,
2025-01-21,SELL ALL,1,21772.5,0,21214.25,558.25,11165.0,IBS Exit
2025-01-31,BUY,1,21571.0,1,,,,
2025-02-03,SELL ALL,1,21553.25,0,21571.0,-17.75,-355.0,IBS Exit
2025-02-07,BUY,1,21575.25,1,,,,
2025-02-12,SELL ALL,1,21861.75,0,21575.25,286.5,5730.0,IBS Exit
2025-02-21,BUY,1,21660.0,1,,,,
2025-02-24,BUY,1,21427.25,2,,,,
2025-02-27,BUY,1,20633.25,3,,,,
2025-03-21,SELL ALL,3,19970.75,0,21240.17,-3808.25,-76165.0,IBS Exit
2025-03-26,BUY,1,20090.5,1,,,,
2025-03-28,BUY,1,19361.0,2,,,,
2025-04-02,BUY,1,19152.25,3,,,,
2025-04-03,BUY,1,18648.5,4,,,,
2025-04-04,BUY,1,17483.25,5,,,,
2025-04-09,SELL ALL,5,19353.5,0,18947.1,2032.0,40640.0,IBS Exit
2025-05-01,BUY,1,19799.0,1,,,,
2025-05-21,BUY,1,21145.5,2,,,,
2025-05-27,SELL ALL,2,21477.0,0,20472.25,2009.5,40190.0,IBS Exit
2025-05-29,BUY,1,21385.0,1,,,,
2025-06-05,BUY,1,21515.0,2,,,,
2025-06-17,BUY,1,21952.0,3,,,,
2025-06-23,SELL ALL,3,22072.25,0,21617.33,1364.75,27295.0,IBS Exit
2025-07-15,BUY,1,23017.75,1,,,,
2025-07-23,SELL ALL,1,23411.25,0,23017.75,393.5,7870.0,IBS Exit
2025-07-29,BUY,1,23452.0,1,,,,
2025-07-31,BUY,1,23329.5,2,,,,
2025-08-01,BUY,1,22870.0,3,,,,
2025-08-04,SELL ALL,3,23350.75,0,23217.17,400.75,8015.0,IBS Exit
2025-08-05,BUY,1,23092.0,1,,,,
2025-08-08,SELL ALL,1,23765.5,0,23092.0,673.5,13470.0,IBS Exit
2025-08-19,BUY,1,23473.5,1,,,,
2025-08-26,SELL ALL,1,23607.5,0,23473.5,134.0,2680.0,IBS Exit
2025-08-29,BUY,1,23454.5,1,,,,
2025-10-08,SELL ALL,1,25354.0,0,23454.5,1899.5,37990.0,IBS Exit
2025-10-10,BUY,1,24188.0,1,,,,
2025-10-17,SELL ALL,1,25033.5,0,24188.0,845.5,16910.0,IBS Exit
2025-11-04,BUY,1,25577.0,1,,,,
2025-11-13,BUY,1,25087.5,2,,,,
2025-11-20,BUY,1,24073.75,3,,,,
2025-11-24,SELL ALL,3,24962.75,0,24912.75,150.0,3000.0,IBS Exit
2025-12-12,BUY,1,25202.5,1,,,,
2025-12-17,BUY,1,24951.75,2,,,,
2025-12-19,SELL ALL,2,25597.5,0,25077.12,1040.75,20815.0,IBS Exit
2025-12-30,BUY,1,25676.0,1,,,,
2025-12-31,BUY,1,25434.75,2,,,,
2026-01-06,SELL ALL,2,25831.25,0,25555.38,551.75,11035.0,IBS Exit
2026-01-20,BUY,1,25142.75,1,,,,
2026-01-27,SELL ALL,1,26110.0,0,25142.75,967.25,19345.0,IBS Exit
2026-01-30,BUY,1,25639.25,1,,,,
2026-02-05,BUY,1,24425.25,2,,,,
2026-02-12,BUY,1,24822.0,3,,,,
2026-03-06,BUY,1,24661.25,4,,,,
2026-03-12,BUY,1,24568.5,5,,,,
2026-03-13,BUY,1,24335.25,6,,,,
2026-03-18,BUY,1,24606.25,7,,,,
2026-03-26,BUY,1,23822.0,8,,,,
2026-03-27,BUY,1,23254.25,9,,,,
2026-03-30,BUY,1,23106.25,10,,,,
2026-04-03,BUY,1,24129.75,11,,,,
2026-04-13,SELL ALL,11,25585.5,0,24306.36,14070.5,281410.0,IBS Exit
2026-04-29,BUY,1,27148.75,1,,,,
2026-05-08,SELL ALL,1,29284.5,0,27148.75,2135.75,42715.0,IBS Exit
