Date,Action,Contracts,Price,Total Held,Avg Entry,P/L Pts,P/L USD,Reason
2026-01-20,BUY,1,25143.25,1,,,,
2026-01-27,SELL ALL,1,26109.5,0,25143.25,966.25,19325.0,IBS Exit
2026-01-30,BUY,1,25638.75,1,,,,
2026-02-02,SELL ALL,1,25873.0,0,25638.75,234.25,4685.0,IBS Exit
2026-02-05,BUY,1,24425.75,1,,,,
2026-02-06,SELL ALL,1,25107.75,0,24425.75,682.0,13640.0,IBS Exit
2026-02-12,BUY,1,24822.0,1,,,,
2026-02-25,SELL ALL,1,25460.75,0,24822.0,638.75,12775.0,IBS Exit
2026-03-06,BUY,1,24660.75,1,,,,
2026-03-09,SELL ALL,1,24958.25,0,24660.75,297.5,5950.0,IBS Exit
2026-03-12,BUY,1,24567.25,1,,,,
2026-03-13,BUY,1,24335.25,2,,,,
2026-03-18,BUY,1,24606.25,3,,,,
2026-03-26,BUY,1,23821.25,4,,,,
2026-03-27,BUY,1,23255.0,5,,,,
2026-03-30,BUY,1,23106.0,6,,,,
2026-03-31,SELL ALL,6,23904.75,0,23948.5,-262.5,-5250.0,IBS Exit
2026-04-03,BUY,1,24132.25,1,,,,
2026-04-07,SELL ALL,1,24397.75,0,24132.25,265.5,5310.0,IBS Exit
2026-04-29,BUY,1,27150.5,1,,,,
2026-04-30,SELL ALL,1,27597.25,0,27150.5,446.75,8935.0,IBS Exit
2026-05-07,BUY,1,28643.0,1,,,,
2026-05-08,SELL ALL,1,29335.5,0,28643.0,692.5,13850.0,IBS Exit
2026-05-15,BUY,1,29172.75,1,,,,
