trades,win_rate,total_pts,total_usd,avg_pts,entry,exit
38,78.94736842105263,51470.25,102940.5,1354.4802631578948,0.35,0.95
38,78.94736842105263,49977.0,99954.0,1315.1842105263158,0.33,0.95
38,78.94736842105263,49451.75,98903.5,1301.3618421052631,0.34,0.95
37,78.37837837837837,47765.25,95530.5,1290.9527027027027,0.32,0.95
37,78.37837837837837,45384.25,90768.5,1226.6013513513512,0.31,0.95
43,79.06976744186046,44491.25,88982.5,1034.6802325581396,0.35,0.94
43,79.06976744186046,44114.5,88229.0,1025.9186046511627,0.33,0.94
43,79.06976744186046,42472.75,84945.5,987.7383720930233,0.34,0.94
42,78.57142857142857,41902.75,83805.5,997.6845238095239,0.32,0.94
35,77.14285714285715,41702.25,83404.5,1191.4928571428572,0.29,0.95
35,77.14285714285715,41139.0,82278.0,1175.4,0.3,0.95
42,78.57142857142857,39521.75,79043.5,940.9940476190476,0.31,0.94
35,77.14285714285715,39218.5,78437.0,1120.5285714285715,0.28,0.95
35,77.14285714285715,38356.75,76713.5,1095.9071428571428,0.27,0.95
35,77.14285714285715,38304.75,76609.5,1094.4214285714286,0.26,0.95
35,77.14285714285715,37680.25,75360.5,1076.5785714285714,0.25,0.95
62,83.87096774193549,36589.0,73178.0,590.1451612903226,0.35,0.9
40,77.5,36284.25,72568.5,907.10625,0.29,0.94
59,84.7457627118644,36012.25,72024.5,610.3771186440678,0.32,0.9
60,85.0,35991.25,71982.5,599.8541666666666,0.33,0.9
35,77.14285714285715,35983.5,71967.0,1028.1,0.24,0.95
40,77.5,35721.0,71442.0,893.025,0.3,0.94
61,83.60655737704919,35418.0,70836.0,580.6229508196722,0.34,0.9
55,83.63636363636363,35329.75,70659.5,642.3590909090909,0.35,0.92
35,80.0,35125.5,70251.0,1003.5857142857143,0.22,0.95
59,84.7457627118644,35063.25,70126.5,594.292372881356,0.35,0.91
55,85.45454545454545,35055.0,70110.0,637.3636363636364,0.33,0.92
64,84.375,34992.5,69985.0,546.7578125,0.35,0.89
35,77.14285714285715,34849.5,69699.0,995.7,0.23,0.95
54,85.18518518518519,34792.0,69584.0,644.2962962962963,0.32,0.92
59,84.7457627118644,34652.75,69305.5,587.3347457627119,0.31,0.9
57,85.96491228070175,34486.5,68973.0,605.0263157894736,0.32,0.91
58,86.20689655172413,34465.5,68931.0,594.2327586206897,0.33,0.91
72,81.94444444444444,34460.5,68921.0,478.61805555555554,0.35,0.88
62,85.48387096774194,34394.75,68789.5,554.7540322580645,0.33,0.89
61,85.24590163934425,34351.0,68702.0,563.1311475409836,0.32,0.89
58,84.48275862068965,33892.25,67784.5,584.3491379310345,0.34,0.91
69,82.6086956521739,33862.75,67725.5,490.7644927536232,0.33,0.88
63,84.12698412698413,33821.5,67643.0,536.8492063492064,0.34,0.89
68,82.35294117647058,33819.0,67638.0,497.3382352941176,0.32,0.88
40,77.5,33800.5,67601.0,845.0125,0.28,0.94
40,77.5,33779.5,67559.0,844.4875,0.26,0.94
55,83.63636363636363,33656.75,67313.5,611.9409090909091,0.34,0.92
40,77.5,33499.75,66999.5,837.49375,0.27,0.94
71,81.69014084507043,33289.5,66579.0,468.86619718309856,0.34,0.88
40,77.5,33155.0,66310.0,828.875,0.25,0.94
57,85.96491228070175,33127.0,66254.0,581.1754385964912,0.31,0.91
61,85.24590163934425,32991.5,65983.0,540.844262295082,0.31,0.89
54,85.18518518518519,32930.5,65861.0,609.824074074074,0.31,0.92
35,80.0,32807.25,65614.5,937.35,0.21,0.95
35,80.0,32759.5,65519.0,935.9857142857143,0.2,0.95
68,82.35294117647058,32459.5,64919.0,477.34558823529414,0.31,0.88
57,85.96491228070175,31944.5,63889.0,560.4298245614035,0.29,0.9
34,79.41176470588235,31570.25,63140.5,928.5367647058823,0.19,0.95
52,84.61538461538461,31498.0,62996.0,605.7307692307693,0.29,0.92
57,84.21052631578947,31478.5,62957.0,552.2543859649123,0.3,0.9
40,77.5,31461.0,62922.0,786.525,0.24,0.94
55,85.45454545454545,31371.5,62743.0,570.3909090909091,0.29,0.91
56,85.71428571428571,30644.0,61288.0,547.2142857142857,0.28,0.9
39,79.48717948717949,30614.0,61228.0,784.974358974359,0.22,0.94
40,77.5,30472.25,60944.5,761.80625,0.23,0.94
56,83.92857142857143,30450.25,60900.5,543.7544642857143,0.26,0.9
87,80.45977011494253,30400.0,60800.0,349.42528735632186,0.35,0.83
59,86.4406779661017,30283.25,60566.5,513.2754237288135,0.29,0.89
56,85.71428571428571,30170.5,60341.0,538.7589285714286,0.27,0.9
75,81.33333333333333,30074.0,60148.0,400.9866666666667,0.35,0.87
54,85.18518518518519,30071.0,60142.0,556.8703703703703,0.28,0.91
55,85.45454545454545,29952.75,59905.5,544.5954545454546,0.3,0.91
56,83.92857142857143,29950.25,59900.5,534.8258928571429,0.25,0.9
54,83.33333333333334,29877.25,59754.5,553.2824074074074,0.26,0.91
59,84.7457627118644,29817.25,59634.5,505.3771186440678,0.3,0.89
71,81.69014084507043,29740.0,59480.0,418.8732394366197,0.32,0.87
96,80.20833333333334,29697.25,59394.5,309.3463541666667,0.35,0.77
54,85.18518518518519,29597.5,59195.0,548.1018518518518,0.27,0.91
65,83.07692307692308,29571.75,59143.5,454.95,0.29,0.88
52,84.61538461538461,29484.25,58968.5,567.0048076923077,0.28,0.92
72,81.94444444444444,29476.25,58952.5,409.3923611111111,0.33,0.87
88,79.54545454545455,29464.0,58928.0,334.8181818181818,0.35,0.82
54,83.33333333333334,29377.25,58754.5,544.0231481481482,0.25,0.91
89,79.7752808988764,29326.5,58653.0,329.5112359550562,0.35,0.81
56,83.92857142857143,29300.0,58600.0,523.2142857142857,0.24,0.9
52,82.6923076923077,29290.5,58581.0,563.2788461538462,0.26,0.92
66,81.81818181818183,29285.25,58570.5,443.71590909090907,0.3,0.88
81,81.48148148148148,29274.5,58549.0,361.41358024691357,0.35,0.85
52,84.61538461538461,29254.25,58508.5,562.5817307692307,0.3,0.92
86,80.23255813953489,29229.0,58458.0,339.8720930232558,0.34,0.83
