Date,Action,Contracts,Price,Total Held,Avg Entry,P/L Pts,P/L USD,Reason
2025-01-07,BUY,1,21375.5,1,,,,
2025-01-16,BUY,1,21214.25,2,,,,
2025-01-21,SELL ALL,2,21772.5,0,21294.88,955.25,47762.5,IBS Exit
2025-01-31,BUY,1,21571.0,1,,,,
2025-02-03,SELL ALL,1,21553.25,0,21571.0,-17.75,-887.5,IBS Exit
2025-02-07,BUY,1,21575.25,1,,,,
2025-02-12,SELL ALL,1,21861.75,0,21575.25,286.5,14325.0,IBS Exit
2025-02-21,BUY,1,21660.0,1,,,,
2025-02-24,BUY,1,21427.25,2,,,,
2025-02-27,BUY,1,20633.25,3,,,,
2025-02-28,SELL ALL,3,20909.0,0,21240.17,-993.5,-49675.0,IBS Exit
2025-03-18,BUY,1,19704.0,1,,,,
2025-03-21,SELL ALL,1,19970.75,0,19704.0,266.75,13337.5,IBS Exit
2025-03-26,BUY,1,20090.5,1,,,,
2025-03-28,BUY,1,19361.0,2,,,,
2025-04-02,BUY,1,19152.25,3,,,,
2025-04-03,BUY,1,18648.5,4,,,,
2025-04-04,BUY,1,17483.25,5,,,,
2025-04-09,SELL ALL,5,19353.5,0,18947.1,2032.0,101600.0,IBS Exit
2025-05-01,BUY,1,19799.0,1,,,,
2025-05-12,SELL ALL,1,20957.0,0,19799.0,1158.0,57900.0,IBS Exit
2025-05-21,BUY,1,21145.5,1,,,,
2025-05-27,SELL ALL,1,21477.0,0,21145.5,331.5,16575.0,IBS Exit
2025-05-29,BUY,1,21385.0,1,,,,
2025-06-02,SELL ALL,1,21554.5,0,21385.0,169.5,8475.0,IBS Exit
2025-06-05,BUY,1,21515.0,1,,,,
2025-06-17,BUY,1,21952.0,2,,,,
2025-06-23,SELL ALL,2,22072.25,0,21733.5,677.5,33875.0,IBS Exit
2025-07-15,BUY,1,23017.75,1,,,,
2025-07-17,SELL ALL,1,23265.5,0,23017.75,247.75,12387.5,IBS Exit
2025-07-29,BUY,1,23452.0,1,,,,
2025-07-30,SELL ALL,1,23661.75,0,23452.0,209.75,10487.5,IBS Exit
2025-07-31,BUY,1,23329.5,1,,,,
2025-08-01,BUY,1,22870.0,2,,,,
2025-08-04,SELL ALL,2,23350.75,0,23099.75,502.0,25100.0,IBS Exit
2025-08-05,BUY,1,23092.0,1,,,,
2025-08-06,SELL ALL,1,23413.25,0,23092.0,321.25,16062.5,IBS Exit
2025-08-11,BUY,1,23629.5,1,,,,
2025-08-12,SELL ALL,1,23949.5,0,23629.5,320.0,16000.0,IBS Exit
2025-08-19,BUY,1,23473.5,1,,,,
2025-08-26,SELL ALL,1,23607.5,0,23473.5,134.0,6700.0,IBS Exit
2025-08-29,BUY,1,23454.5,1,,,,
2025-09-04,SELL ALL,1,23684.0,0,23454.5,229.5,11475.0,IBS Exit
2025-09-16,BUY,1,24530.25,1,,,,
2025-09-23,BUY,1,24833.75,2,,,,
2025-09-26,SELL ALL,2,24726.5,0,24682.0,89.0,4450.0,IBS Exit
2025-10-03,BUY,1,24982.0,1,,,,
2025-10-08,SELL ALL,1,25354.0,0,24982.0,372.0,18600.0,IBS Exit
2025-10-10,BUY,1,24188.0,1,,,,
2025-10-17,SELL ALL,1,25033.5,0,24188.0,845.5,42275.0,IBS Exit
2025-11-04,BUY,1,25577.0,1,,,,
2025-11-06,BUY,1,25311.5,2,,,,
2025-11-10,SELL ALL,2,25720.75,0,25444.25,553.0,27650.0,IBS Exit
2025-11-13,BUY,1,25087.5,1,,,,
2025-11-19,SELL ALL,1,24958.75,0,25087.5,-128.75,-6437.5,IBS Exit
2025-11-20,BUY,1,24073.75,1,,,,
2025-11-24,SELL ALL,1,24962.75,0,24073.75,889.0,44450.0,IBS Exit
2025-12-12,BUY,1,25202.5,1,,,,
2025-12-15,BUY,1,25101.5,2,,,,
2025-12-17,BUY,1,24951.75,3,,,,
2025-12-19,SELL ALL,3,25597.5,0,25085.25,1536.75,76837.5,IBS Exit
2025-12-26,BUY,1,25856.0,1,,,,
2025-12-30,BUY,1,25676.0,2,,,,
2025-12-31,BUY,1,25434.75,3,,,,
2026-01-06,SELL ALL,3,25831.25,0,25655.58,527.0,26350.0,IBS Exit
2026-01-20,BUY,1,25142.75,1,,,,
2026-01-27,SELL ALL,1,26110.0,0,25142.75,967.25,48362.5,IBS Exit
2026-01-30,BUY,1,25639.25,1,,,,
2026-02-02,SELL ALL,1,25873.25,0,25639.25,234.0,11700.0,IBS Exit
2026-02-05,BUY,1,24425.25,1,,,,
2026-02-12,BUY,1,24822.0,2,,,,
2026-02-25,SELL ALL,2,25461.75,0,24623.62,1676.25,83812.5,IBS Exit
2026-03-06,BUY,1,24661.25,1,,,,
2026-03-09,SELL ALL,1,24958.0,0,24661.25,296.75,14837.5,IBS Exit
2026-03-12,BUY,1,24568.5,1,,,,
2026-03-13,BUY,1,24335.25,2,,,,
2026-03-18,BUY,1,24606.25,3,,,,
2026-03-26,BUY,1,23822.0,4,,,,
2026-03-27,BUY,1,23254.25,5,,,,
2026-03-31,SELL ALL,5,23905.5,0,24117.25,-1058.75,-52937.5,IBS Exit
2026-04-03,BUY,1,24129.75,1,,,,
2026-04-09,SELL ALL,1,25244.75,0,24129.75,1115.0,55750.0,IBS Exit
2026-04-29,BUY,1,27148.75,1,,,,
2026-04-30,SELL ALL,1,27598.5,0,27148.75,449.75,22487.5,IBS Exit
