trades,win_rate,total_pts,total_usd,avg_pts,entry,exit
4,100.0,23136.0,462720.0,5784.0,0.34,0.95
4,100.0,23136.0,462720.0,5784.0,0.33,0.95
4,100.0,23136.0,462720.0,5784.0,0.35,0.95
4,100.0,21918.25,438365.0,5479.5625,0.31,0.95
4,100.0,21918.25,438365.0,5479.5625,0.32,0.95
5,100.0,21450.0,429000.0,4290.0,0.33,0.94
5,100.0,21450.0,429000.0,4290.0,0.34,0.94
5,100.0,21450.0,429000.0,4290.0,0.35,0.94
4,100.0,21119.0,422380.0,5279.75,0.3,0.95
5,100.0,20232.25,404645.0,4046.45,0.31,0.94
5,100.0,20232.25,404645.0,4046.45,0.32,0.94
4,100.0,20132.75,402655.0,5033.1875,0.29,0.95
5,100.0,19433.0,388660.0,3886.6,0.3,0.94
4,100.0,19383.25,387665.0,4845.8125,0.28,0.95
4,100.0,19383.25,387665.0,4845.8125,0.26,0.95
4,100.0,19383.25,387665.0,4845.8125,0.27,0.95
4,100.0,19219.0,384380.0,4804.75,0.25,0.95
3,100.0,18782.25,375645.0,6260.75,0.24,0.95
5,100.0,18446.75,368935.0,3689.35,0.29,0.94
5,100.0,17697.25,353945.0,3539.45,0.26,0.94
5,100.0,17697.25,353945.0,3539.45,0.27,0.94
5,100.0,17697.25,353945.0,3539.45,0.28,0.94
5,100.0,17533.0,350660.0,3506.6,0.25,0.94
3,100.0,17173.5,343470.0,5724.5,0.23,0.95
3,100.0,17173.5,343470.0,5724.5,0.21,0.95
3,100.0,17173.5,343470.0,5724.5,0.18,0.95
3,100.0,17173.5,343470.0,5724.5,0.22,0.95
3,100.0,17173.5,343470.0,5724.5,0.2,0.95
3,100.0,17173.5,343470.0,5724.5,0.19,0.95
4,100.0,17096.25,341925.0,4274.0625,0.24,0.94
3,100.0,15487.5,309750.0,5162.5,0.22,0.94
3,100.0,15487.5,309750.0,5162.5,0.19,0.94
3,100.0,15487.5,309750.0,5162.5,0.21,0.94
3,100.0,15487.5,309750.0,5162.5,0.2,0.94
3,100.0,15487.5,309750.0,5162.5,0.23,0.94
3,100.0,15487.5,309750.0,5162.5,0.18,0.94
2,100.0,15037.75,300755.0,7518.875,0.16,0.95
2,100.0,15037.75,300755.0,7518.875,0.17,0.95
2,100.0,15037.75,300755.0,7518.875,0.17,0.94
2,100.0,15037.75,300755.0,7518.875,0.16,0.94
2,100.0,13635.75,272715.0,6817.875,0.15,0.94
2,100.0,13635.75,272715.0,6817.875,0.15,0.95
2,100.0,10393.0,207860.0,5196.5,0.13,0.95
2,100.0,10393.0,207860.0,5196.5,0.14,0.94
2,100.0,10393.0,207860.0,5196.5,0.13,0.94
2,100.0,10393.0,207860.0,5196.5,0.14,0.95
1,100.0,9425.75,188515.0,9425.75,0.12,0.95
1,100.0,9425.75,188515.0,9425.75,0.12,0.94
9,88.88888888888889,6421.75,128435.0,713.5277777777778,0.32,0.9
9,88.88888888888889,6421.75,128435.0,713.5277777777778,0.31,0.9
12,100.0,6180.75,123615.0,515.0625,0.25,0.71
12,100.0,6180.75,123615.0,515.0625,0.25,0.7
12,100.0,6180.75,123615.0,515.0625,0.25,0.72
14,92.85714285714286,6134.75,122695.0,438.19642857142856,0.32,0.72
14,92.85714285714286,6134.75,122695.0,438.19642857142856,0.31,0.72
14,92.85714285714286,6134.75,122695.0,438.19642857142856,0.32,0.7
14,92.85714285714286,6134.75,122695.0,438.19642857142856,0.32,0.71
14,92.85714285714286,6134.75,122695.0,438.19642857142856,0.31,0.7
14,92.85714285714286,6134.75,122695.0,438.19642857142856,0.31,0.71
12,100.0,6108.75,122175.0,509.0625,0.29,0.71
12,100.0,6108.75,122175.0,509.0625,0.29,0.7
12,100.0,6108.75,122175.0,509.0625,0.29,0.72
9,88.88888888888889,5959.5,119190.0,662.1666666666666,0.33,0.9
