Date,Action,Contracts,Price,Total Held,Avg Entry,P/L Pts,P/L USD,Reason
2026-04-30 10:45,SELL SHORT,-1,27365.25,-1,,,,
2026-04-30 13:45,BUY COVER (SL),0,27514.25,0,27365.25,-149.0,-2980.0,SL Hit
2026-05-01 10:30,BUY,1,27752.5,1,,,,
2026-05-05 09:30,SELL (TP),0,28068.0,0,27752.5,315.5,6310.0,TP Hit
2026-05-05 10:00,BUY,1,28064.75,1,,,,
2026-05-05 16:15,SELL (TP),0,28246.75,0,28064.75,182.0,3640.0,TP Hit
2026-05-13 10:15,SELL SHORT,-1,29225.75,-1,,,,
2026-05-13 10:45,BUY COVER (SL),0,29304.75,0,29225.75,-79.0,-1580.0,SL Hit
